,ID,var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var8(t-4),var9(t-4),var10(t-4),var11(t-4),var12(t-4),var13(t-4),var14(t-4),var15(t-4),var16(t-4),var17(t-4),var18(t-4),var19(t-4),var20(t-4),var21(t-4),var22(t-4),var23(t-4),var24(t-4),var25(t-4),var26(t-4),var27(t-4),var28(t-4),var29(t-4),var30(t-4),var31(t-4),var32(t-4),var33(t-4),var34(t-4),var35(t-4),var36(t-4),var37(t-4),var38(t-4),var39(t-4),var40(t-4),var41(t-4),var42(t-4),var43(t-4),var44(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var8(t-3),var9(t-3),var10(t-3),var11(t-3),var12(t-3),var13(t-3),var14(t-3),var15(t-3),var16(t-3),var17(t-3),var18(t-3),var19(t-3),var20(t-3),var21(t-3),var22(t-3),var23(t-3),var24(t-3),var25(t-3),var26(t-3),var27(t-3),var28(t-3),var29(t-3),var30(t-3),var31(t-3),var32(t-3),var33(t-3),var34(t-3),var35(t-3),var36(t-3),var37(t-3),var38(t-3),var39(t-3),var40(t-3),var41(t-3),var42(t-3),var43(t-3),var44(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var11(t-2),var12(t-2),var13(t-2),var14(t-2),var15(t-2),var16(t-2),var17(t-2),var18(t-2),var19(t-2),var20(t-2),var21(t-2),var22(t-2),var23(t-2),var24(t-2),var25(t-2),var26(t-2),var27(t-2),var28(t-2),var29(t-2),var30(t-2),var31(t-2),var32(t-2),var33(t-2),var34(t-2),var35(t-2),var36(t-2),var37(t-2),var38(t-2),var39(t-2),var40(t-2),var41(t-2),var42(t-2),var43(t-2),var44(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var12(t-1),var13(t-1),var14(t-1),var15(t-1),var16(t-1),var17(t-1),var18(t-1),var19(t-1),var20(t-1),var21(t-1),var22(t-1),var23(t-1),var24(t-1),var25(t-1),var26(t-1),var27(t-1),var28(t-1),var29(t-1),var30(t-1),var31(t-1),var32(t-1),var33(t-1),var34(t-1),var35(t-1),var36(t-1),var37(t-1),var38(t-1),var39(t-1),var40(t-1),var41(t-1),var42(t-1),var43(t-1),var44(t-1)
103,104,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484,4.43301919484
104,105,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363,4.37939704363
105,106,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933,4.50515151933
106,107,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669,4.37847025669
107,108,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361,4.53006585361
108,109,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044,4.50220859044
109,110,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255,4.5847465255
110,111,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057,4.37865933057
111,112,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198,4.53037965198
112,113,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893,4.42617279893
